closureSchema,cube.protocol-command-closure
closureSchemaVersion,1
closureSha256,bcbe1152c7de3a837848dd3cf3d5e424b3fe73aced220c5563c19661b5dbe65f
input.firmwareFacts,cube.ltd-firmware.protocol-fact-inventory,4,f0a27ef0e1d42498d79b18c2752fbf88486a67aa9bce538625d4427b6e459304
input.toolCatalog,cube.ltd-device-debug-tool.protocol-catalog,2,757f47db2a732816456494d0692fbaf0f31ac323f7b9e6de40372da448d90137
input.comparisonPolicy,cube.protocol-catalog-comparison-policy,1,46e06af6f00ec1f1e5c1cc10a401c4e94bde4f838dfe5b3d662a0560de20f136
input.catalogDiff,cube.protocol-catalog-comparison,1,5041f0088b84f2314272201c8f4eefd18600743c27040de1e815975c9537b891

profileId,commandName,isEnabled,functionCode,address,quantity,encodedValues,externalSymbol,cpu2CommandName,cpu2CommandValue,semanticClassification,parameterSync,cpu2Dispatch,cpu2Ack,completion,cleanup,benchVerification,primaryClassification,closureStatus,blockingReasons
dsm,backZero,True,5,11,1,[65280],COM_BACK_ZERO,CMD_BACK_ZERO,1,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,backupFile,False,5,513,1,[65280],COM_BACKUP_FILE,CMD_UNKNOWN,255,NoOp,Resolved,NotApplicable,NotApplicable,NotApplicable,NotApplicable,Ineligible,NoOp,Disabled,
dsm,calibrateOil,True,5,256,1,[65280],COM_CAL_OIL,CMD_CALIBRATE_OIL,102,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,calibrateTankHeight,True,5,272,1,[65280],COM_CALIBRATE_TANKHEIGHT,CMD_CALIBRATE_TANKHEIGHT,110,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,calibrateWater,True,5,264,1,[65280],COM_CAL_WATER,CMD_CALIBRATE_WATER,116,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,correctOil,True,5,262,1,[65280],COM_CORRECTION_OIL,CMD_CORRECT_OIL,103,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,findBottom,True,5,19,1,[65280],COM_FIND_BOTTOM,CMD_FIND_BOTTOM,4,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,Ineligible,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,findOil,True,5,17,1,[65280],COM_FIND_OIL,CMD_FIND_OIL,2,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,Ineligible,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,findWater,True,5,18,1,[65280],COM_FIND_WATER,CMD_FIND_WATER,3,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,Ineligible,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
dsm,findZero,True,5,12,1,[65280],COM_FIND_ZERO,CMD_BACK_ZERO,1,Closed,Unresolved,RouteResolved,RegisterWriteAckOnly,Unresolved,Unresolved,NotApplicable,Unverifiable,Unverifiable,CPU2 只有寄存器写回显或 ACK 未解析，不能证明业务接受；业务失败状态没有命令值或事务代际，无法关联本次请求；固件尚未声明 Host 必须预写的精确参数集合；自由文本完成条件不能替代固件结构化完成证明；静态 Cleanup policy 只声明能力，不能证明本轮已确认安全停止和恢复
